a0,b1,c2
0,default,common_sound_nx1
1,nx_lunar,common_sound_nx1_lunar
2,nx_moonbase,common_sound_nx1_lunar
3,nx_moon_grav,common_sound_nx1_lunar
4,nx_lunar_rover,common_sound_nx1_lunar
5,af_caves,common_sound_iw4
6,af_caves_weapons,common_sound_iw4
7,af_chase,common_sound_iw4
8,af_chase_test,common_sound_iw4
9,af_end,common_sound_iw4
10,ai_battlechatter,common_sound_iw4
11,ai_cover,common_sound_iw4
12,ai_crawling_death,common_sound_iw4
13,ai_difficulty,common_sound_iw4
14,ai_door,common_sound_iw4
15,ai_in_trigger,common_sound_iw4
16,ai_melee,common_sound_iw4
17,ai_multitarget,common_sound_iw4
18,ai_riotshield,common_sound_iw4
19,ai_saw,common_sound_iw4
20,ai_sniper,common_sound_iw4
21,ai_snowmobile,common_sound_iw4
22,ai_sound,common_sound_iw4
23,ai_squad,common_sound_iw4
25,airport,common_sound_iw4
26,airport_test,common_sound_iw4
27,ambush,common_sound_iw4
28,andreww,common_sound_iw4
29,animated_foliage,common_sound_iw4
30,animated_misc,common_sound_iw4
31,animface,common_sound_iw4
32,animmode,common_sound_iw4
33,arcadia,common_sound_iw4
34,ares,common_sound_iw4
35,armada,common_sound_iw4
36,armada_pc,common_sound_iw4
37,art_lighttest_daylight,common_sound_iw4
38,autoaim,common_sound_iw4
39,avalanche,common_sound_iw4
40,b_city,common_sound_iw4
41,barrelexplode,common_sound_iw4
42,bathroom,common_sound_iw4
43,beretta,common_sound_iw4
44,bigcity,common_sound_iw4
45,bigcity_destroyed,common_sound_iw4
46,blacklist.txt,common_sound_iw4
47,bmp_test,common_sound_iw4
48,boattest,common_sound_iw4
49,bog_a_pc,common_sound_iw4
50,bog_b,common_sound_iw4
51,bog_b_pc,common_sound_iw4
52,bone_test,common_sound_iw4
53,boneyard,common_sound_iw4
54,boneyard_old,common_sound_iw4
55,brain_chamber_test,common_sound_iw4
56,bridge,common_sound_iw4
57,bridge_collapse,common_sound_iw4
58,bridge_intro_test,common_sound_iw4
59,bridge_parking_garage,common_sound_iw4
60,brushmodel,common_sound_iw4
61,btr80,common_sound_iw4
62,bug_script_brushmodels,common_sound_iw4
63,c130_nightrider,common_sound_iw4
64,cardicon,common_sound_iw4
65,cardtitle,common_sound_iw4
66,casual_killer,common_sound_iw4
67,chaintest,common_sound_iw4
68,char_museum,common_sound_iw4
69,character_calibration01,common_sound_iw4
70,character_gallery,common_sound_iw4
71,character_room,common_sound_iw4
72,cityscale,common_sound_iw4
73,civilian_plaza,common_sound_iw4
74,clambert,common_sound_iw4
75,cliff_fly,common_sound_iw4
76,cliffhanger,common_sound_iw4
77,cliffhanger_cliff,common_sound_iw4
78,cliffhanger_geo,common_sound_iw4
79,cliffhanger_shadows,common_sound_iw4
80,climb,common_sound_iw4
81,clip_mud,common_sound_iw4
82,clutter,common_sound_iw4
83,co_ac130,common_sound_iw4
84,co_airplane,common_sound_iw4
85,co_armada,common_sound_iw4
86,co_blackout,common_sound_iw4
87,co_break,common_sound_iw4
88,co_cobra,common_sound_iw4
89,co_crossfire,common_sound_iw4
90,co_hunted,common_sound_iw4
91,co_killhouse,common_sound_iw4
92,co_launchfacility_a,common_sound_iw4
93,co_lod_test,common_sound_iw4
94,co_overgrown,common_sound_iw4
95,co_rescue,common_sound_iw4
96,co_scoutsniper,common_sound_iw4
97,co_strike,common_sound_iw4
98,co_suburban_america,common_sound_iw4
99,co_village,common_sound_iw4
100,cobrafly,common_sound_iw4
101,cod4_model_gallery,common_sound_iw4
102,cod4_model_gallery_2,common_sound_iw4
103,cod5_foliage_test,common_sound_iw4
104,contingency,common_sound_iw4
105,coop_slowmo_breach,common_sound_iw4
106,corner_approach_test,common_sound_iw4
107,corner_rpg,common_sound_iw4
108,coup_pc,common_sound_iw4
109,cover_left,common_sound_iw4
110,cover_prone,common_sound_iw4
111,cover_right,common_sound_iw4
112,cover_stand,common_sound_iw4
113,covercrouchtest,common_sound_iw4
114,crash_plights,common_sound_iw4
115,curb_test,common_sound_iw4
116,curb_test_4way3,common_sound_iw4
117,custom_battlechatter,common_sound_iw4
118,davis_test,common_sound_iw4
119,dc_burning_test,common_sound_iw4
120,dc_hunted,common_sound_iw4
121,dc_tankdrive,common_sound_iw4
122,dc_whitehouse,common_sound_iw4
123,dc130,common_sound_iw4
124,dcburning,common_sound_iw4
125,dcemp,common_sound_iw4
126,dcemp_intro_area,common_sound_iw4
127,deady_testmap_2,common_sound_iw4
128,deathflag,common_sound_iw4
129,decal_error,common_sound_iw4
130,desert_convoy,common_sound_iw4
131,destroyed_city,common_sound_iw4
132,destroyed_stuff,common_sound_iw4
133,dog_movement,common_sound_iw4
