a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18
1,,none,MPUI_NO_ATTACHMENT,none,,weapon_missing_image,PERKS_NO_ATTACHMENT,,0,1,,,,0,0,0,0,0
2,,rail,MPUI_ACOG_SCOPE,acog,,weapon_attachment_acog,PERKS_ENHANCED_ZOOM_ACOG_SCOPE,PERKS_COMPLETE_THE_MARKSMAN,1,2,,,,0,0,20,0,0
3,,rail,MPUI_RED_DOT_SIGHT,reflex,,weapon_attachment_reflex,PERKS_REPLACE_THE_IRON_SIGHTS,PERKS_COMPLETE_THE_MARKSMAN,2,4,,,,0,0,0,0,0
4,,barrel,MPUI_SILENCER,silencer,,weapon_attachment_suppressor,PERKS_INVISIBLE_ON_GPS_WHEN,PERKS_COMPLETE_THE_MARKSMAN,3,8,,,,0,0,-20,0,0
5,,undermount,MPUI_GRIP,grip,,weapon_attachment_grip,PERKS_VERTICAL_FOREGRIP_FOR,PERKS_COMPLETE_THE_MARKSMAN,4,16,,specialty_null_grip,,25,0,0,0,0
6,,undermount,MPUI_GRENADE_LAUNCHER,gl,,weapon_attachment_m203,PERKS_GRENADE_LAUNCHER_ATTACHMENT2,,5,32,,specialty_null_gl,,0,0,0,0,0
7,,unique,MPUI_AKIMBO,akimbo,,weapon_attachment_akimbo,PERKS_DESC_AKIMBO,PERKS_AKIMBO,6,64,,,,-20,0,0,0,0
8,,rail,MPUI_THERMAL,thermal,,weapon_attachment_thermal,PERKS_DESC_THERMAL,PERKS_THERMAL,7,128,,,,0,0,20,0,0
9,,undermount,MPUI_SHOTGUN,shotgun,,weapon_attachment_shotgun,PERKS_DESC_SHOTGUN,PERKS_SHOTGUN,8,256,,specialty_null_shotgun,,0,0,0,0,0
10,,unique,MPUI_HEARTBEAT,heartbeat,,weapon_attachment_heartbeat,PERKS_DESC_HEARTBEAT,PERKS_HEARTBEAT,9,,,specialty_null_heartbeat,,0,0,0,0,0
11,,unique,MPUI_FMJ,fmj,,weapon_attachment_fmj,PERKS_DESC_FMJ,,10,,,,,0,5,0,0,0
12,,unique,MPUI_HROF,hrof,,weapon_attachment_hrof,PERKS_DESC_HROF,,11,,,,,0,0,0,20,0
13,,unique,MPUI_LROF,lrof,,weapon_attachment_lrof,PERKS_DESC_LROF,,12,,,,,0,0,0,20,0
14,,unique,MPUI_XMAGS,xmags,,weapon_attachment_xmags,PERKS_DESC_XMAGS,,13,,,,,0,0,0,0,0
15,,unique,MPUI_LOCKAIR,lockair,,weapon_attachment_lockair,PERKS_DESC_LOCKAIR,,14,,,,,0,0,0,0,0
16,,unique,MPUI_BOOM,boom,,weapon_attachment_boom,PERKS_DESC_BOOM,,15,,,,,0,20,0,0,0
17,,undermount,MPUI_TACTICAL,tactical,,weapon_attachment_tactical,PERKS_DESC_TACTICAL,,16,,,,,0,0,0,0,0
18,,none,MPUI_DONE_SELECTING,done,,weapon_missing_image,MPUI_DESC_DONE_SELECTING,PERKS_COMPLETE_THE_MARKSMAN,17,,,,,0,0,0,0,0
19,,rail,MPUI_XRAY,xray,,weapon_attachment_xray,PERKS_DESC_XRAY,PERKS_XRAY,18,128,,,,0,0,0,0,0
20,,barrel,MPUI_ABG,abg,,weapon_attachment_abg,PERKS_DESC_ABG,PERKS_ABG,19,128,,,,25,0,0,0,0
21,,barrel,MPUI_FLASH,flash,,weapon_flashbang,PERKS_DESC_FLASH,PERKS_FLASH,20,128,,,,25,0,0,0,0
22,,barrel,MPUI_FRAG,frag,,weapon_fraggrenade,PERKS_DESC_FRAG,PERKS_FRAG,21,128,,,,25,0,0,0,0
23,,barrel,MPUI_SMOKE,smoke,,weapon_smokegrenade,PERKS_DESC_SMOKE,PERKS_SMOKE,22,128,,,,25,0,0,0,0
24,,barrel,MPUI_STICK,stick,,equipment_semtex,PERKS_DESC_STICK,PERKS_STICK,23,128,,,,25,0,0,0,0
25,,unique,MPUI_JHP,jhp,,weapon_attachment_jhp,PERKS_DESC_JHP,PERKS_JHP,24,128,,,,0,5,0,0,0
26,,unique,MPUI_MATCH,match,,weapon_attachment_match,PERKS_DESC_MATCH,PERKS_MATCH,25,128,,,,0,25,33,0,0
27,,unique,MPUI_SHELLSHOCK,shellshock,,weapon_attachment_shellshock,PERKS_DESC_SHELLSHOCK1,PERKS_SHELLSHOCK,26,128,,,,0,5,0,0,0
28,,unique,MPUI_LBARREL,lbarrel,,weapon_attachment_lbarrel,PERKS_DESC_LBARREL,PERKS_LBARREL,27,128,,,,0,0,20,0,-5
29,,unique,MPUI_SBARREL,sbarrel,,weapon_attachment_sbarrel,PERKS_DESC_SBARREL,PERKS_SBARREL,28,128,,,,0,0,-20,0,5
30,,unique,MPUI_ASTOCK,astock,,weapon_attachment_astock,PERKS_DESC_ASTOCK,PERKS_ASTOCK,29,128,,,,-15,0,0,0,20
31,,unique,MPUI_BOOST,boost,,weapon_attachment_boost,PERKS_DESC_BOOST,PERKS_BOOST,30,128,,,,-15,0,0,0,20
32,,unique,MPUI_PLUSONE,plusone,,weapon_attachment_plusone,PERKS_DESC_PLUSONE,PERKS_PLUSONE,31,128,,,,-15,0,0,0,20
